3	11	59
3	15	17
3	15	36
3	15	50
3	15	51
3	15	52
3	15	58
3	15	59
3	16	17
3	16	42
3	16	52
3	16	59
3	17	50
3	17	51
3	17	52
3	17	58
3	17	59
3	36	42
3	36	51
3	36	52
3	42	50
3	42	51
3	42	52
3	50	52
3	50	58
3	50	59
3	51	52
3	51	58
3	51	59
3	52	58
3	52	59
3	58	59
4	5	6
4	5	9
4	5	14
4	5	15
4	5	16
4	5	17
4	5	37
4	5	42
4	5	52
4	5	58
4	5	59
4	6	7
4	6	8
4	6	14
4	6	15
4	6	26
4	6	37
4	6	42
4	6	47
4	6	49
4	6	50
4	6	51
4	6	52
4	6	58
4	6	59
4	7	8
4	7	11
4	7	15
4	7	26
4	7	52
4	8	15
4	8	26
4	8	50
4	8	51
4	8	52
4	9	11
4	9	14
4	9	15
4	9	17
4	9	26
4	9	42
4	9	58
4	9	59
4	11	14
4	11	15
4	11	16
4	11	17
4	11	26
4	11	36
4	11	37
4	11	47
4	11	50
4	11	51
4	11	52
4	11	58
4	11	59
4	14	16
4	14	17
4	14	26
4	14	36
4	14	37
4	14	42
4	14	47
4	14	49
4	14	50
4	14	51
4	14	52
4	14	58
4	15	17
4	15	26
4	15	36
4	15	37
4	15	47
4	15	50
4	15	51
4	15	52
4	15	58
4	15	59
4	16	17
4	16	42
4	16	52
4	16	59
4	17	26
4	17	47
4	17	49
4	17	50
4	17	51
4	17	52
4	17	58
4	17	59
4	26	36
4	26	37
4	26	47
4	26	49
4	26	50
4	26	51
4	26	52
4	26	58
4	26	59
4	36	37
4	36	42
4	36	47
4	36	49
4	36	51
4	36	52
4	37	42
4	37	47
4	37	49
4	37	50
4	37	51
4	37	52
4	37	58
4	37	59
4	42	47
4	42	50
4	42	51
4	42	52
4	47	49
4	47	50
4	47	51
4	47	52
4	47	58
4	47	59
4	49	50
4	49	51
4	49	52
4	49	58
4	49	59
4	50	52
4	50	58
4	50	59
4	51	52
4	51	58
4	51	59
4	52	58
4	52	59
4	58	59
5	6	14
5	6	15
5	6	37
5	6	42
5	6	43
5	6	52
5	6	58
5	6	59
5	9	14
5	9	15
5	9	17
5	9	40
5	9	42
5	9	58
5	9	59
5	12	14
5	12	15
5	12	16
5	12	17
5	12	37
5	12	40
5	12	52
5	12	54
5	12	58
5	12	59
5	13	14
5	14	16
5	14	17
5	14	34
5	14	37
5	14	39
5	14	40
5	14	41
5	14	42
5	14	43
5	14	45
5	14	52
5	14	54
5	14	58
5	15	17
5	15	34
5	15	35
5	15	37
5	15	39
5	15	40
5	15	41
5	15	43
5	15	45
5	15	52
5	15	58
5	15	59
5	16	17
5	16	40
5	16	42
5	16	43
5	16	52
5	16	54
5	16	59
5	17	52
5	17	54
5	17	58
5	17	59
5	34	35
5	34	37
5	34	39
5	34	40
5	34	41
5	34	42
5	34	43
5	34	45
5	34	52
5	34	54
5	35	39
5	35	40
5	35	41
5	35	42
5	35	43
5	35	45
5	35	52
5	35	54
5	35	58
5	35	59
5	37	39
5	37	40
5	37	41
5	37	42
5	37	43
5	37	52
5	37	54
5	37	58
5	37	59
5	39	40
5	39	41
5	39	43
5	39	45
5	39	52
5	39	54
5	40	41
5	40	42
5	40	43
5	40	45
5	40	52
5	40	54
5	41	42
5	41	43
5	41	45
5	41	52
5	41	54
5	41	58
5	41	59
5	42	43
5	42	45
5	42	52
5	42	54
5	43	45
5	43	52
5	43	54
5	45	52
5	45	54
5	52	54
5	52	58
5	52	59
5	54	58
5	54	59
5	58	59
6	7	8
6	7	15
6	7	26
6	7	52
6	8	15
6	8	26
6	8	50
6	8	51
6	8	52
6	14	25
6	14	26
6	14	37
6	14	42
6	14	43
6	14	47
6	14	49
6	14	50
6	14	51
6	14	52
6	14	58
6	15	25
6	15	26
6	15	37
6	15	43
6	15	47
6	15	50
6	15	51
6	15	52
6	15	58
6	15	59
6	25	26
6	25	42
6	25	43
6	25	47
6	25	49
6	25	52
6	25	58
6	25	59
6	26	37
6	26	47
6	26	49
6	26	50
6	26	51
6	26	52
6	26	58
6	26	59
6	37	42
6	37	43
6	37	47
6	37	49
6	37	50
6	37	51
6	37	52
6	37	58
6	37	59
6	42	43
6	42	47
6	42	50
6	42	51
6	42	52
6	43	50
6	43	51
6	43	52
6	47	49
6	47	50
6	47	51
6	47	52
6	47	58
6	47	59
6	49	50
6	49	51
6	49	52
6	49	58
6	49	59
6	50	52
6	50	58
6	50	59
6	51	52
6	51	58
6	51	59
6	52	58
6	52	59
6	58	59
7	8	10
7	8	15
7	8	26
7	8	52
7	10	11
7	10	26
7	11	15
7	11	26
7	11	52
7	15	26
7	15	52
7	26	52
8	10	26
8	15	26
8	15	50
8	15	51
8	15	52
8	26	50
8	26	51
8	26	52
8	50	52
8	51	52
9	10	11
9	10	14
9	10	17
9	10	26
9	10	40
9	10	42
9	10	58
9	10	59
9	11	14
9	11	15
9	11	17
9	11	26
9	11	40
9	11	58
9	11	59
9	14	17
9	14	26
9	14	40
9	14	42
9	14	58
9	15	17
9	15	26
9	15	40
9	15	58
9	15	59
9	17	26
9	17	58
9	17	59
9	26	58
9	26	59
9	40	42
9	58	59
10	11	14
10	11	17
10	11	26
10	11	40
10	11	58
10	11	59
10	14	17
10	14	26
10	14	40
10	14	42
10	14	58
10	17	26
10	17	58
10	17	59
10	26	58
10	26	59
10	40	42
10	58	59
11	12	14
11	12	15
11	12	16
11	12	17
11	12	21
11	12	22
11	12	25
11	12	26
11	12	36
11	12	37
11	12	38
11	12	40
11	12	47
11	12	48
11	12	50
11	12	51
11	12	52
11	12	53
11	12	55
11	12	58
11	12	59
11	12	60
11	12	61
11	12	62
11	12	64
11	14	16
11	14	17
11	14	25
11	14	26
11	14	36
11	14	37
11	14	38
11	14	40
11	14	47
11	14	50
11	14	51
11	14	52
11	14	53
11	14	55
11	14	58
11	15	17
11	15	25
11	15	26
11	15	36
11	15	37
11	15	38
11	15	40
11	15	47
11	15	50
11	15	51
11	15	52
11	15	53
11	15	58
11	15	59
11	15	64
11	16	17
11	16	25
11	16	40
11	16	52
11	16	53
11	16	59
11	17	25
11	17	26
11	17	47
11	17	48
11	17	50
11	17	51
11	17	52
11	17	58
11	17	59
11	21	22
11	21	52
11	21	53
11	21	55
11	21	58
11	21	59
11	22	26
11	22	52
11	22	53
11	22	55
11	22	58
11	25	26
11	25	36
11	25	40
11	25	47
11	25	48
11	25	52
11	25	53
11	25	58
11	25	59
11	26	36
11	26	37
11	26	47
11	26	48
11	26	50
11	26	51
11	26	52
11	26	53
11	26	58
11	26	59
11	36	37
11	36	40
11	36	47
11	36	48
11	36	51
11	36	52
11	36	64
11	37	38
11	37	40
11	37	47
11	37	50
11	37	51
11	37	52
11	37	53
11	37	58
11	37	59
11	37	62
11	37	64
11	38	50
11	38	51
11	38	53
11	40	47
11	40	50
11	40	51
11	40	52
11	47	48
11	47	50
11	47	51
11	47	52
11	47	53
11	47	55
11	47	58
11	47	59
11	47	61
11	47	64
11	48	50
11	48	51
11	48	52
11	48	53
11	48	55
11	48	58
11	48	59
11	48	60
11	48	61
11	48	62
11	48	64
11	50	52
11	50	53
11	50	58
11	50	59
11	50	61
11	50	62
11	50	64
11	51	52
11	51	53
11	51	58
11	51	59
11	51	61
11	51	62
11	51	64
11	52	53
11	52	55
11	52	58
11	52	59
11	52	60
11	52	61
11	52	62
11	52	64
11	53	55
11	53	58
11	53	59
11	53	60
11	53	62
11	55	58
11	55	59
11	55	61
11	55	62
11	58	59
11	58	60
11	58	61
11	58	62
11	58	64
11	59	60
11	59	62
11	59	64
11	60	61
11	60	62
11	60	64
11	61	62
11	61	64
11	62	64
12	14	16
12	14	17
12	14	25
12	14	26
12	14	36
12	14	37
12	14	38
12	14	40
12	14	47
12	14	50
12	14	51
12	14	52
12	14	53
12	14	54
12	14	55
12	14	58
12	15	17
12	15	25
12	15	26
12	15	36
12	15	37
12	15	38
12	15	40
12	15	47
12	15	50
12	15	51
12	15	52
12	15	53
12	15	58
12	15	59
12	15	64
12	16	17
12	16	25
12	16	40
12	16	52
12	16	53
12	16	54
12	16	59
12	17	25
12	17	26
12	17	47
12	17	48
12	17	50
12	17	51
12	17	52
12	17	54
12	17	58
12	17	59
